name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
91 Aquarii b,144,3.2 Jupiters,4.23946,2013
AB Pictoris b,163,13.5 Jupiters,9.13,2005
Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
Alpha Tauri b,67,6.47 Jupiters,0.872,2015
AU Microscopii b,32,17 Earths,8.81,2020
AU Microscopii c,32,13.6 Earths,8.81,2021
BD-00 4475 b,139,25.05 Jupiters,9.01,2021
BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-17 63 b,112,5.1 Jupiters,9.62,2008
BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
BD+20 274 b,4314,4.2 Jupiters,9.367,2012
BD+20 594 b,585,22.2481 Earths,10.849,2016
BD+45 564 b,175,1.36 Jupiters,9.67,2021
BD+48 738 b,2843,0.91 Jupiters,9.139,2011
BD+48 740 b,2174,1.7 Jupiters,8.69,2018
BD+49 828 b,1442,1.6 Jupiters,9.381,2015
BD+55 362 b,171,0.72 Jupiters,9.38,2021
8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
91 Aquarii b,144,3.2 Jupiters,4.23946,2013
AB Pictoris b,163,13.5 Jupiters,9.13,2005
Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
Alpha Tauri b,67,6.47 Jupiters,0.872,2015
AU Microscopii b,32,17 Earths,8.81,2020
AU Microscopii c,32,13.6 Earths,8.81,2021
BD-00 4475 b,139,25.05 Jupiters,9.01,2021
BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
BD-06 1339 b,66,8.5 Earths,9.7,2013
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
Gamma 1 Leonis b,130,8.78 Jupiters,1.99509,2009
Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
Gamma Librae b,155,1.02 Jupiters,3.90672,2018
Gamma Librae c,155,4.58 Jupiters,3.90672,2018
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342 b,1207,3.53 Earths,13.096,2019
EPIC 206032309 b,526,1.01 Earths,17.89,2019
EPIC 206042996 b,1474,3.26 Earths,16.59,2019
EPIC 206215704 b,358,0.666 Earths,17.83,2019
EPIC 206317286 b,1025,0.84 Earths,14.005,2019
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
Gamma 1 Leonis b,130,8.78 Jupiters,1.99509,2009
Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
Gamma Librae b,155,1.02 Jupiters,3.90672,2018
Gamma Librae c,155,4.58 Jupiters,3.90672,2018
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
Gamma 1 Leonis b,130,8.78 Jupiters,1.99509,2009
Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
Gamma Librae b,155,1.02 Jupiters,3.90672,2018
Gamma Librae c,155,4.58 Jupiters,3.90672,2018
GJ 1061 b,12,1.37 Earths,12.7,2020
GJ 1061 c,12,1.74 Earths,12.7,2020
GJ 1061 d,12,1.64 Earths,12.7,2020
GJ 1132 b,41,1.66 Earths,13.68,2015
GJ 1132 c,41,2.64 Earths,13.68,2018
GJ 1148 b,36,0.30425 Jupiters,11.939,2010
GJ 1148 c,36,0.21414 Jupiters,11.939,2017
GJ 1151 b,26,2.5 Earths,13.76,2021
GJ 1214 b,48,8.17 Earths,15.1,2009
GJ 1252 b,66,2.09 Earths,12.68,2020
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.041,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3293 e,66,3.28 Earths,11.945,2017
GJ 3323 b,18,2.02 Earths,12.57,2017
GJ 3323 c,18,2.31 Earths,12.57,2017
GJ 3341 b,77,6.6 Earths,12.062,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 c,89,7.41 Earths,13.74,2020
GJ 3512 b,31,0.463 Jupiters,15.18,2019
GJ 357 b,31,1.84 Earths,10.91,2019
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3779 b,45,8 Earths,13.04,2018
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
